Date,Ash Wednesday,Commencement,Easter Sunday,Exam Week,Fall Break,Family Weekend,Home Football Game,Home Football Game (Homecoming),Labor Day,Martin Luther King Jr. Day,Spring Break,St. Patrick&#39;s Day,Thanksgiving Break,Winter Break
12/26/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/27/24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/27/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/28/24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/28/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/29/24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/29/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/30/24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/30/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/31/24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12/31/25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
